COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Kuberan Global Edu Solutions Ltd.,5-May-21,5,5,2021,1.1,20,0,1.4,5.2,3.3,21,22.1,10%,15.3,-24%,Profit
Macrotech Developers Ltd.,19-Apr-21,19,4,2021,2500,486,3,1.4,0.4,1.4,439,463.1,-5%,1395.8,474%,Loss
Barbeque-Nation Hospitality Ltd.,7-Apr-21,7,4,2021,452.9,500,5.1,3.1,13.1,6,492,590.4,18%,630.1,26%,Profit
Siddhika Coatings Ltd.,7-Apr-21,7,4,2021,4.7,57,0,2.3,2.9,2.6,55,57,0%,130.2,357%,Loss
EKI Energy Services Ltd.,7-Apr-21,7,4,2021,18.6,102,1,10.3,3.1,4,140,147,44%,316.3,210%,Profit
Niks Technology Ltd.,31-Mar-21,31,3,2021,2,201,0,1,7.2,4.1,202.1,203,1%,571,184%,Profit
Nazara Technologies Ltd.,30-Mar-21,30,3,2021,582.9,1101,103.8,389.9,75.3,175.5,1971,1576.8,43%,1036.6,88%,Profit
Craftsman Automation Ltd.,25-Mar-21,25,3,2021,823.7,1490,5.2,2.8,3.4,3.8,1440,1433,-4%,6377.9,328%,Loss
Lami Organic Industries Ltd.,25-Mar-21,25,3,2021,600,130,175.4,217.6,20.1,106.8,173,164.6,27%,288.9,122%,Profit
Anupam Rasayan India Ltd.,24-Mar-21,24,3,2021,760,555,65.7,97.4,10.8,44.1,534.7,525.9,-5%,747.9,35%,Loss
MTAR Technologies Ltd.,15-Mar-21,15,3,2021,596,575,165,650.8,28.4,200.8,990,1082.3,88%,1739.9,203%,Profit
Heranba Industries Ltd.,9-Mar-21,9,3,2021,625,627,67.5,271.1,11.8,83.3,900,812.3,30%,491.4,-22%,Profit
Pavna Industries Ltd.,9-Mar-21,9,3,2021,29.7,165,0,-,-,-,165.6,165.5,0%,428.4,160%,Profit
Partyuisers Ltd.,5-Mar-21,5,3,2021,7.8,51,0,0.3,2.3,1.3,54,51.3,1%,114,347%,Profit
Nureca Ltd.,26-Feb-21,26,2,2021,100,400,3.1,31.6,166.7,39.9,635,666.6,67%,370.4,-7%,Profit
MRP Agro Ltd.,18-Feb-21,18,2,2021,3.2,40,0,2.7,4.2,3.2,39.8,37.8,-6%,120.8,806%,Loss
Brookfield India Real Estate Trust,17-Feb-21,17,2,2021,3800,275,4.8,11.5,-,7.9,281.7,268.9,-2%,281.1,2%,Loss
Stove Kraft Ltd.,5-Feb-21,5,2,2021,413,385,8,32.7,26,18,498,445.9,16%,933.3,142%,Profit
Home First Finance Company India Ltd.,3-Feb-21,3,2,2021,1153.7,518,52.5,39,6.6,26.7,612.1,527.4,2%,1268.5,145%,Profit
Indigo Paints Ltd.,2-Feb-21,2,2,2021,1176,1490,189.6,263.1,15.9,117,2607.5,3118.7,109%,1481.3,-1%,Profit
Antony Waste Handling Cell Ltd.,1-Jan-21,1,1,2021,300,315,9.7,18.7,16.6,15,430,407.3,29%,697.5,121%,Profit
Burger King India Ltd.,14-Dec-20,14,12,2020,810,60,86.6,354.1,68.2,156.7,115.3,138.4,131%,107.8,80%,Profit
Net Pi Shorts Digital Media Ltd.,2-Dec-20,2,12,2020,2.7,30,0,1.7,1.9,1.8,30.1,30.1,0%,33,10%,Profit
Gland Pharma Ltd.,20-Nov-20,20,11,2020,6479.6,1500,6.4,0.5,0.2,2.1,1710,1820.5,21%,1800.5,20%,Profit
Equitas Small Finance Bank Ltd.,2-Nov-20,2,11,2020,517.6,33,3.9,0.2,2.1,1.9,31,32.8,-1%,81.5,147%,Loss
Likhitha Infrastructure Ltd.,15-Oct-20,15,10,2020,61.2,120,22,1.5,23.7,9.5,130,136.5,14%,387.8,546%,Profit
G M Polyplast Ltd.,14-Oct-20,14,10,2020,8.1,159,0,2.1,1.1,1.6,160,167.5,5%,171.4,655%,Profit
AAA Technologies Ltd.,13-Oct-20,13,10,2020,10.2,42,0,2.5,2.3,2.4,44.5,43.6,4%,141.7,237%,Profit
UTI Asset Management Company Ltd.,12-Oct-20,12,10,2020,2159.9,554,3.3,0.9,2.3,2.3,476.2,476.6,-14%,1281.5,131%,Loss
Atam Valves Ltd.,6-Oct-20,6,10,2020,4.5,40,0,2.5,3.4,2.9,40,39,-2%,153.1,665%,Loss
Computer Age Management Services Ltd.,1-Oct-20,1,10,2020,2244.3,1230,73.2,111.8,5.5,47,1535,1401.6,14%,4459.6,263%,Profit
Chemcon Speciality Chemicals Ltd.,1-Oct-20,1,10,2020,318,340,113.5,449.1,41.1,149.3,731,584.8,72%,277.1,-19%,Profit
Route Mobile Ltd.,21-Sep-20,21,9,2020,600,350,89.8,192.8,12.7,73.3,708,651.1,86%,1598.6,357%,Profit
Happiest Minds Technologies Ltd.,17-Sep-20,17,9,2020,702,166,77.4,351.5,70.9,151,351,371,124%,800,382%,Profit
Mindspace Business Parks REIT,12-Aug-20,12,8,2020,4500,275,0,10.6,15.5,13,302,303.7,10%,348.8,27%,Profit
Rossari Biotech Ltd.,23-Jul-20,23,7,2020,496.3,425,85.3,239.8,7.2,79.4,670,742.4,75%,912.9,115%,Profit
Bonlon Industries Ltd.,11-Jul-20,11,7,2020,10.5,28,0,2.5,0.2,1.4,21,21.5,-23%,32.5,16%,Loss
Billwin Industries Ltd.,30-Jun-20,30,6,2020,2.5,37,0,2.1,0.6,1.4,36.9,37.1,0%,52.1,41%,Profit
SM Auto Stamping Ltd.,16-Mar-20,16,3,2020,6.9,18,0,2.2,0.5,1.3,18,18,0%,50.8,182%,Profit
SBI Cards and Payment Services Ltd.,16-Mar-20,16,3,2020,10354.8,755,57.2,45.2,2.5,26.5,658,683.2,-10%,787,4%,Loss
Chandra Bhagat Pharma Ltd.,14-Feb-20,14,2,2020,10.2,51,0,1.9,1.4,1.6,51.7,51.8,2%,73,43%,Profit
ICL Organic Dairy Products Ltd.,14-Feb-20,14,2,2020,4.1,20,0,3.6,2.6,3.1,20.8,21.8,9%,39.7,99%,Profit
Hindprakash Industries Ltd.,27-Jan-20,27,1,2020,11.5,40,0,3,1.4,2.2,40.7,41.3,3%,145.8,264%,Profit
Gian Life Care Ltd.,13-Jan-20,13,1,2020,3.1,22,0,1.9,0.8,1.3,22,22,0%,22.1,1%,Profit
Valencia Nutrition Ltd.,6-Jan-20,6,1,2020,7.2,46,0,2.5,0.6,1.6,46.5,47,2%,61.9,35%,Profit
AB Infrabuild Ltd.,11-Jul-19,11,7,2019,12.8,29,0,1.2,0.7,1,29,29.1,1%,85.1,193%,Profit
Aartech Solonics Ltd.,27-Mar-19,27,3,2019,7.2,34,0,2.4,1.6,2,34,23.1,-32%,73.2,868%,Loss
Affle (India) Ltd.,8-Aug-19,8,8,2019,459,745,55.3,198.7,10.9,86.5,929.9,873.6,17%,1553.3,109%,Profit
Alphalogic Techsys Ltd.,6-Sep-19,6,9,2019,6.2,84,0,2,0.5,1.2,83,84.3,0%,165.3,3665%,Profit
Anand Rayons Ltd.,2-Jul-19,2,7,2019,12.7,27,0,1.9,0.5,1.2,28.3,27.2,1%,51.8,92%,Profit
Anmol India Ltd.,21-Feb-19,21,2,2019,10.2,33,0,1.6,1.6,1.6,33.6,34.1,4%,30.4,360%,Profit
Ascom Leasing & Investments Ltd.,6-Dec-19,6,12,2019,6.3,30,0,1.9,1,1.5,30.3,30.3,1%,123.8,519%,Profit
CSB Bank Ltd.,4-Dec-19,4,12,2019,409.7,195,62.2,164.7,44.5,86.9,275,300.1,54%,323.9,66%,Profit
Chalet Hotels Ltd.,7-Feb-19,7,2,2019,1641.2,280,4.7,1.1,0,1.6,291,290.4,4%,887,217%,Profit
Embassy Office Parks REIT,1-Apr-19,1,4,2019,4750,300,2.1,3.1,-,2.6,300,314.1,5%,385.2,28%,Profit
Gleam Fabmat Ltd.,5-Mar-19,5,3,2019,3.1,10,0,2.7,0.8,1.8,9,8.6,-15%,7.2,-28%,Loss
IndiaMART InterMESH Ltd.,4-Jul-19,4,7,2019,475.6,973,30.8,62.1,14.1,36.2,1180,1302.5,34%,3055.1,528%,Profit
Indian Railway Catering & Tourism Corporation Ltd.,14-Oct-19,14,10,2019,645.1,320,108.8,354.5,14.8,111.9,644,728.6,128%,894.3,179%,Profit
Jonjua Overseas Ltd.,25-Feb-19,25,2,2019,1.3,10,0,0.8,0.1,0.5,12,9.4,-6%,13.3,122%,Loss
KHFM Hospitality & Facility Management Services Ltd.,12-Apr-19,12,4,2019,10.6,36,0,1.3,1.5,1.3,36.5,36.1,0%,99.6,177%,Profit
Kranti Industries Ltd.,28-Feb-19,28,2,2019,8.6,37,0,1.3,1.3,1.3,35.3,30.8,-17%,68.9,86%,Loss
Metropolis Healthcare Ltd.,15-Apr-19,15,4,2019,1204.3,880,8.9,3,2.2,5.8,960,959.5,9%,2110.5,140%,Profit
Mindpool Technologies Ltd.,28-Feb-19,28,2,2019,3.6,30,0,2.5,1.6,2.1,30,28.5,-5%,70,133%,Loss
Northern Spirits Ltd.,4-Apr-19,4,4,2019,18.5,43,0,1.8,0.8,1.3,43.7,43.1,0%,188.4,338%,Profit
Novateor Research Laboratories Ltd.,13-Sep-19,13,9,2019,4.5,24,0,1.8,0.7,1.2,24,24.1,1%,52.3,118%,Profit
Par Drugs & Chemicals Ltd.,16-May-19,16,5,2019,8.5,51,0,3.5,8,5.7,52.9,50.5,-1%,243.7,378%,Loss
Parshva Enterprises Ltd.,1-Jul-19,1,7,2019,3.6,45,0,1.6,0.7,1.2,45.9,15.1,-67%,208.9,364%,Loss
Prince Pipes & Fittings Ltd.,30-Dec-19,30,12,2019,500,178,3.5,1.2,1.9,2.2,160,166.6,-6%,577.9,225%,Loss
Ritco Logistics Ltd.,7-Feb-19,7,2,2019,48.2,73,0,1.8,1,1.4,77.4,73.5,1%,322.6,342%,Profit
Roopshri Resorts Ltd.,1-Apr-19,1,4,2019,3.6,20,0,1.4,0.8,1.1,20.3,20.3,1%,37.2,86%,Profit
SBC Eports Ltd.,4-Jul-19,4,7,2019,6.6,22,0,1.9,0.8,1.4,22,1.2,-95%,35.5,4756%,Loss
SK International Eport Ltd.,15-Jul-19,15,7,2019,4,20,0,2,0.5,1.3,19.2,20,0%,18.1,-10%,Profit
Spandana Sphoorty Financial Ltd.,19-Aug-19,19,8,2019,1200.9,856,3.1,0.6,0.1,1.1,825,847.8,-1%,603.5,-30%,Loss
Sterling and Wilson Renewable Energy Ltd.,20-Aug-19,20,8,2019,2880.9,780,1,0.9,0.3,0.8,700,725.4,-7%,720.6,-8%,Loss
Transpact Enterprises Ltd.,6-Sep-19,6,9,2019,1.4,130,0,0.9,1.4,1.1,132.5,131,1%,185,42%,Profit
Ujjivan Small Finance Bank Ltd.,12-Dec-19,12,12,2019,750,37,110.7,473,49,165.7,58.8,55.9,51%,42.9,16%,Profit
elpmoc Design and Tech Ltd.,4-Feb-19,4,2,2019,23,66,1.2,7.7,2.6,3.3,56,59.9,-9%,121.4,84%,Loss
